person,material,trial,label,feature_Ts,feature_Fs,feature_Gs,feature_Gs_ch1,feature_Gs_ch2,feature_ZCRs,feature_slopes,feature_mu3s,feature_mu4s,feature_mu_frics,feature_AVG_normal_force,feature_Touch_time,feature_Roughness,feature_Friction_F,feature_STD_fric,feature_COV_fric,feature_ZCRs_CH1,feature_ZCRs_CH2,feature_slopes_fric,feature_STD_normal,feature_COV_normal,feature_F_Amp,feature_F_Amp_std,feature_F_Amp_cov,feature_F_max,feature_Press_angle,feature_Press_angle_std
chy,1,0,3,273.75,0.475,36.48729599972877,0.003110419906687933,-0.014930015552099215,2.6535253980288096,40.940106141015924,0.14888525098393923,2.9634378422427874,0.9931854656375808,0.7481174183514776,1648.125,0.06751710506229297,0.7941631469811723,0.46181356249652566,0.5815096863308291,0.006444275966641395,0.004548900682335102,0.001516300227445034,0.29591306658897987,0.3955436129812916,1.0995576812017585,0.5312099310611169,0.48311238249959976,1.431,46.20960959834199,8.523620357308284
chy,1,1,3,130.625,0.357,-94.14254913835975,-0.001812004530011222,-0.02627406568516465,8.060182697474476,36.00214938205266,0.647595548757312,2.9248615064414665,0.843065129158853,1.1294903737259343,1162.5,0.034438473888583024,1.0090166331591228,0.7206210823407848,0.714181569122996,0.004836109618484685,0.004836109618484685,0.0026867275658248252,0.6908608427469096,0.6116571321169523,1.5215448366345057,0.9875969971588474,0.6490751855484629,3.075,50.45740123690947,7.364366112312682
chy,1,2,3,182.5,0.047,-399.50247357404066,0.08638713383113132,-0.018380241240666284,12.575177692728268,106.61563696008749,0.16439899655337684,2.009383894831998,0.7788680967715422,2.5409580700746703,1142.5,0.044266453192779956,2.030538969918799,1.4562609247907683,0.7171795007948082,0.004373974849644614,0.0032804811372334607,0.002733734281027884,1.5119180377093144,0.5950188850085527,3.279609216655876,2.056772190128399,0.62713941029402,5.342,52.850803785015174,8.439382341329008
chy,10,0,1,65.625,0.661,-302.07827828531555,-0.010432395332876038,-0.011530542210020872,14.227642276422765,113.14363143631437,-0.29235224857338676,2.5466120991347934,0.6384744983872559,1.0651458476321207,1844.375,0.07441313494682719,0.686268301229398,0.39470700138612635,0.5751496909868028,0.006436314363143632,0.007452574525745257,0.0020325203252032522,0.4697266312483221,0.44099747681742446,1.2892518023999304,0.5654788882494979,0.4386101203790168,2.057,58.75657473930596,11.278927965155793
chy,10,1,1,185.625,1.091,-914.0265814462941,0.062062440870386516,-0.012866603595080035,5.087881591119334,77.70582793709528,1.8989551388051913,5.5724416494033475,0.5782867101127723,1.945976348155156,1350.625,0.06472980630483875,0.7940753876230079,0.42929581254120036,0.5406234964998199,0.004625346901017576,0.0074005550416281225,0.0013876040703052729,1.9254324625500956,0.9894428903904527,2.16173694624259,1.9067926228525232,0.8820650570675601,7.876,61.086235129813716,11.682762956992443
chy,10,2,1,70.0,0.552,-791.4283972709487,0.06757679180887415,-0.03686006825938551,5.466778805719092,140.0336417157275,-0.23805795256976917,2.0152287174708827,0.48316389133346627,1.6914522184300342,1485.625,0.10763107763108326,0.6980781269464396,0.4059653291528385,0.5815471270080153,0.005887300252312868,0.005046257359125316,0.001682085786375105,0.8367066903048408,0.49466764782835665,1.8440707575022504,0.9014503058699697,0.48883715671027855,3.03,65.72556024882756,10.193770343430236
chy,11,0,3,78.75,0.251,-934.931669965744,-0.0013628620102215812,-0.0074957410562166635,14.1725719049604,137.14047519799917,1.567867344315735,5.018894468255282,0.91339605886244,2.675945485519591,1498.75,0.5396536246729443,1.498260747312492,0.9605513097525724,0.6411109090827902,0.006252605252188412,0.004585243851604835,0.0029178824510212586,2.5066304750791373,0.9367270329845386,3.262043825454185,2.443439122730325,0.7490515926437982,11.43,53.85339045668383,18.78177287297111
chy,11,1,3,130.0,1.119,754.3049125000746,0.17305135951661774,-0.03963746223564812,0.5790387955993052,127.38853503184713,-0.6220665872019389,3.533584999294122,2.153991551289895,0.9243293051359517,1078.75,2.0184609191117673,1.8847145045425513,1.2533624147513505,0.6650144686266742,0.004632310364794441,0.005790387955993051,0.004053271569195136,0.31360672692310104,0.3392803032215616,2.1629470245835956,1.1821421736381428,0.546542361048221,1.695,31.483534090850302,13.641611168728211
chy,11,2,3,96.875,1.13,92.81675494461906,0.037426900584792484,-0.0074853801169589935,0.0,83.04093567251462,0.08551878523434636,1.8372942269565622,0.9647229739450909,2.3307832358674467,1602.5,0.12586694146026334,2.446438658855429,1.790083625617324,0.7317099977707261,0.0035087719298245615,0.003898635477582846,0.0023391812865497076,1.1928193547441697,0.5117676051502226,3.430860263010658,2.067372211188172,0.6025812923590207,4.539,47.87101116202379,11.35382492775257
chy,12,0,2,10.625,0.705,-624.0153588986681,-0.09156626506024008,-0.0036144578313254383,3.7341299477221805,120.23898431665422,0.4867083906422269,1.7779728757753124,0.5077139776777976,1.6001566265060239,836.25,0.03836654844988247,0.8193279469826459,0.7047703488801671,0.8601810196706189,0.004480955937266617,0.006721433905899925,0.0007468259895444362,1.1418417171809074,0.7135812196548179,1.8134827635185742,1.3204482315616501,0.7281283605914602,3.751,63.74776248754945,9.08579001108933
